pident,coverage,taxonomy,accuracy
90,90,species,0.31263650546021843
90,90,genus,0.5123244929797192
90,90,family,0.6034321372854914
91,90,species,0.36501163692785105
91,90,genus,0.5915438324282389
91,90,family,0.6865787432117921
92,90,species,0.3786290322580645
92,90,genus,0.5862903225806452
92,90,family,0.682258064516129
93,90,species,0.39820359281437123
93,90,genus,0.6142001710863987
93,90,family,0.7100085543199316
94,90,species,0.474025974025974
94,90,genus,0.6996753246753247
94,90,family,0.8024891774891775
95,90,species,0.4743150684931507
95,90,genus,0.7071917808219178
95,90,family,0.8105022831050228
96,90,species,0.48342059336823734
96,90,genus,0.7126236183827807
96,90,family,0.8167539267015707
97,90,species,0.5767154973014649
97,90,genus,0.8080185042405551
97,90,family,0.9059367771781033
98,90,species,0.5916666666666667
98,90,genus,0.8066666666666666
98,90,family,0.9066666666666666
99,90,species,0.5916666666666667
99,90,genus,0.8066666666666666
99,90,family,0.9066666666666666
100,90,species,0.5916666666666667
100,90,genus,0.8066666666666666
100,90,family,0.9066666666666666
90,91,species,0.3232786885245902
90,91,genus,0.5318032786885246
90,91,family,0.6255737704918033
91,91,species,0.3865440869201839
91,91,genus,0.6297534475553699
91,91,family,0.730045967404931
92,91,species,0.4037620297462817
92,91,genus,0.6281714785651793
92,91,family,0.7300962379702537
93,91,species,0.41859410430839
93,91,genus,0.6453514739229025
93,91,family,0.7442176870748299
94,91,species,0.48633575013943114
94,91,genus,0.713329615170106
94,91,family,0.8153931957612939
95,91,species,0.48674130819092515
95,91,genus,0.7212728344136712
95,91,family,0.8238067177371833
96,91,species,0.4963942307692308
96,91,genus,0.7271634615384616
96,91,family,0.8305288461538461
97,91,species,0.5817757009345794
97,91,genus,0.8068535825545171
97,91,family,0.9057632398753894
98,91,species,0.596964586846543
98,91,genus,0.806070826306914
98,91,family,0.9064080944350759
99,91,species,0.596964586846543
99,91,genus,0.806070826306914
99,91,family,0.9064080944350759
100,91,species,0.596964586846543
100,91,genus,0.806070826306914
100,91,family,0.9064080944350759
90,92,species,0.32943534914801204
90,92,genus,0.5412629468760441
90,92,family,0.6351486802539258
91,92,species,0.39112050739957716
91,92,genus,0.6363636363636364
91,92,family,0.7369978858350952
92,92,species,0.4078656650463986
92,92,genus,0.6327883340698188
92,92,family,0.7344233318603623
93,92,species,0.423006416131989
93,92,genus,0.65032080659945
93,92,family,0.7488542621448213
94,92,species,0.48878923766816146
94,92,genus,0.7152466367713004
94,92,family,0.8172645739910314
95,92,species,0.4902077151335312
95,92,genus,0.7234421364985163
95,92,family,0.826112759643917
96,92,species,0.5
96,92,genus,0.7294188861985472
96,92,family,0.8329297820823245
97,92,species,0.585423197492163
97,92,genus,0.8087774294670846
97,92,family,0.9075235109717869
98,92,species,0.6015293118096856
98,92,genus,0.8088360237892949
98,92,family,0.9090909090909091
99,92,species,0.6015293118096856
99,92,genus,0.8088360237892949
99,92,family,0.9090909090909091
100,92,species,0.6015293118096856
100,92,genus,0.8088360237892949
100,92,family,0.9090909090909091
90,93,species,0.33131516986209214
90,93,genus,0.5391860073999327
90,93,family,0.6326942482341069
91,93,species,0.3963963963963964
91,93,genus,0.6383526383526383
91,93,family,0.7391677391677391
92,93,species,0.412897447380206
92,93,genus,0.6363636363636364
92,93,family,0.7384684281236006
93,93,species,0.4270495599814729
93,93,genus,0.6521537748957851
93,93,family,0.7508105604446503
94,93,species,0.4960136674259681
94,93,genus,0.7203872437357631
94,93,family,0.8228929384965832
95,93,species,0.4957932692307692
95,93,genus,0.7319711538461539
95,93,family,0.8347355769230769
96,93,species,0.502436053593179
96,93,genus,0.7332521315468941
96,93,family,0.8373934226552984
97,93,species,0.5892575039494471
97,93,genus,0.8143759873617693
97,93,family,0.9139020537124802
98,93,species,0.6058269065981148
98,93,genus,0.8149100257069408
98,93,family,0.9160239931448158
99,93,species,0.6058269065981148
99,93,genus,0.8149100257069408
99,93,family,0.9160239931448158
100,93,species,0.6058269065981148
100,93,genus,0.8149100257069408
100,93,family,0.9160239931448158
90,94,species,0.34894872740686095
90,94,genus,0.5765400221320546
90,94,family,0.6654371080781999
91,94,species,0.410535876475931
91,94,genus,0.6657584014532243
91,94,family,0.7602179836512262
92,94,species,0.430138292799237
92,94,genus,0.6671435383881735
92,94,family,0.7629947544110635
93,94,species,0.4406448461162677
93,94,genus,0.6765999022960429
93,94,family,0.7713727405959941
94,94,species,0.5061801059446733
94,94,genus,0.7339611536197763
94,94,family,0.8346085932901707
95,94,species,0.5081148564294632
95,94,genus,0.7465667915106118
95,94,family,0.8470661672908864
96,94,species,0.5151898734177215
96,94,genus,0.7481012658227848
96,94,family,0.85
97,94,species,0.5972558514931396
97,94,genus,0.8200161420500404
97,94,family,0.9217110573042776
98,94,species,0.6151142355008787
98,94,genus,0.8216168717047452
98,94,family,0.9253075571177505
99,94,species,0.6151142355008787
99,94,genus,0.8216168717047452
99,94,family,0.9253075571177505
100,94,species,0.6151142355008787
100,94,genus,0.8216168717047452
100,94,family,0.9253075571177505
90,95,species,0.34782608695652173
90,95,genus,0.5705103969754254
90,95,family,0.6620037807183364
91,95,species,0.4111059262715819
91,95,genus,0.6654223051796547
91,95,family,0.7624825011665889
92,95,species,0.42732134175984443
92,95,genus,0.6626154594069033
92,95,family,0.7603305785123967
93,95,species,0.43840399002493763
93,95,genus,0.6723192019950125
93,95,family,0.7690773067331671
94,95,species,0.5088145896656535
94,95,genus,0.7349544072948329
94,95,family,0.8389057750759878
95,95,species,0.5038412291933418
95,95,genus,0.7445582586427657
95,95,family,0.8476312419974392
96,95,species,0.5110389610389611
96,95,genus,0.7461038961038962
96,95,family,0.8506493506493507
97,95,species,0.5931780366056573
97,95,genus,0.8178036605657238
97,95,family,0.9226289517470881
98,95,species,0.6108637577916296
98,95,genus,0.8201246660730187
98,95,family,0.92520035618878
99,95,species,0.6108637577916296
99,95,genus,0.8201246660730187
99,95,family,0.92520035618878
100,95,species,0.6108637577916296
100,95,genus,0.8201246660730187
100,95,family,0.92520035618878
90,96,species,0.3488813045127038
90,96,genus,0.5722411831626849
90,96,family,0.664012135001896
91,96,species,0.4138093001409112
91,96,genus,0.669798027242837
91,96,family,0.7674964772193518
92,96,species,0.4302496328928047
92,96,genus,0.667156142927068
92,96,family,0.7655408712677435
93,96,species,0.4423754403623553
93,96,genus,0.6784096628082537
93,96,family,0.7760442878711625
94,96,species,0.514760147601476
94,96,genus,0.7435424354243543
94,96,family,0.8487084870848709
95,96,species,0.5087265675500969
95,96,genus,0.7517776341305753
95,96,family,0.8558500323206205
96,96,species,0.5164041994750657
96,96,genus,0.7532808398950132
96,96,family,0.8589238845144357
97,96,species,0.6027049873203719
97,96,genus,0.8300929839391378
97,96,family,0.9366018596787827
98,96,species,0.620253164556962
98,96,genus,0.8318264014466547
98,96,family,0.9385171790235082
99,96,species,0.620253164556962
99,96,genus,0.8318264014466547
99,96,family,0.9385171790235082
100,96,species,0.620253164556962
100,96,genus,0.8318264014466547
100,96,family,0.9385171790235082
90,97,species,0.3855060034305317
90,97,genus,0.630360205831904
90,97,family,0.7289879931389366
91,97,species,0.44272445820433437
91,97,genus,0.7146542827657378
91,97,family,0.8194014447884417
92,97,species,0.4642082429501085
92,97,genus,0.7169197396963124
92,97,family,0.8232104121475055
93,97,species,0.47292817679558014
93,97,genus,0.7226519337016575
93,97,family,0.8270718232044199
94,97,species,0.5384615384615384
94,97,genus,0.7790927021696252
94,97,family,0.8882314266929652
95,97,species,0.5343988881167477
95,97,genus,0.7908269631688672
95,97,family,0.8992355802640722
96,97,species,0.5400280898876404
96,97,genus,0.7893258426966292
96,97,family,0.898876404494382
97,97,species,0.6073883161512027
97,97,genus,0.8298969072164949
97,97,family,0.936426116838488
98,97,species,0.6261510128913443
98,97,genus,0.8314917127071824
98,97,family,0.9383057090239411
99,97,species,0.6261510128913443
99,97,genus,0.8314917127071824
99,97,family,0.9383057090239411
100,97,species,0.6261510128913443
100,97,genus,0.8314917127071824
100,97,family,0.9383057090239411
90,98,species,0.3961010190518387
90,98,genus,0.6251661497563137
90,98,family,0.7235268054940186
91,98,species,0.45983827493261453
91,98,genus,0.7153638814016172
91,98,family,0.8210242587601078
92,98,species,0.4685777287761852
92,98,genus,0.7221609702315325
92,98,family,0.8269018743109151
93,98,species,0.4764309764309764
93,98,genus,0.7278338945005611
93,98,family,0.8305274971941639
94,98,species,0.5460040295500336
94,98,genus,0.7864338482202821
94,98,family,0.8945601074546675
95,98,species,0.5386779184247539
95,98,genus,0.7932489451476793
95,98,family,0.9022503516174403
96,98,species,0.5444207533759773
96,98,genus,0.7917555081734187
96,98,family,0.9019189765458422
97,98,species,0.6137750653879687
97,98,genus,0.8326068003487358
97,98,family,0.939843068875327
98,98,species,0.6306976744186047
98,98,genus,0.8306976744186046
98,98,family,0.9386046511627907
99,98,species,0.6306976744186047
99,98,genus,0.8306976744186046
99,98,family,0.9386046511627907
100,98,species,0.6306976744186047
100,98,genus,0.8306976744186046
100,98,family,0.9386046511627907
90,99,species,0.3961010190518387
90,99,genus,0.6251661497563137
90,99,family,0.7235268054940186
91,99,species,0.45983827493261453
91,99,genus,0.7153638814016172
91,99,family,0.8210242587601078
92,99,species,0.4685777287761852
92,99,genus,0.7221609702315325
92,99,family,0.8269018743109151
93,99,species,0.4764309764309764
93,99,genus,0.7278338945005611
93,99,family,0.8305274971941639
94,99,species,0.5460040295500336
94,99,genus,0.7864338482202821
94,99,family,0.8945601074546675
95,99,species,0.5386779184247539
95,99,genus,0.7932489451476793
95,99,family,0.9022503516174403
96,99,species,0.5444207533759773
96,99,genus,0.7917555081734187
96,99,family,0.9019189765458422
97,99,species,0.6137750653879687
97,99,genus,0.8326068003487358
97,99,family,0.939843068875327
98,99,species,0.6306976744186047
98,99,genus,0.8306976744186046
98,99,family,0.9386046511627907
99,99,species,0.6306976744186047
99,99,genus,0.8306976744186046
99,99,family,0.9386046511627907
100,99,species,0.6306976744186047
100,99,genus,0.8306976744186046
100,99,family,0.9386046511627907
90,100,species,0.3961010190518387
90,100,genus,0.6251661497563137
90,100,family,0.7235268054940186
91,100,species,0.45983827493261453
91,100,genus,0.7153638814016172
91,100,family,0.8210242587601078
92,100,species,0.4685777287761852
92,100,genus,0.7221609702315325
92,100,family,0.8269018743109151
93,100,species,0.4764309764309764
93,100,genus,0.7278338945005611
93,100,family,0.8305274971941639
94,100,species,0.5460040295500336
94,100,genus,0.7864338482202821
94,100,family,0.8945601074546675
95,100,species,0.5386779184247539
95,100,genus,0.7932489451476793
95,100,family,0.9022503516174403
96,100,species,0.5444207533759773
96,100,genus,0.7917555081734187
96,100,family,0.9019189765458422
97,100,species,0.6137750653879687
97,100,genus,0.8326068003487358
97,100,family,0.939843068875327
98,100,species,0.6306976744186047
98,100,genus,0.8306976744186046
98,100,family,0.9386046511627907
99,100,species,0.6306976744186047
99,100,genus,0.8306976744186046
99,100,family,0.9386046511627907
100,100,species,0.6306976744186047
100,100,genus,0.8306976744186046
100,100,family,0.9386046511627907
